City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
59,High Level,CA,2021-11-01 03:30:35,58.5169,-117.136,28.51,74,1,0.0,clear sky
60,Maragogi,BR,2021-11-01 03:29:17,-9.0122,-35.2225,76.21,84,61,6.69,broken clouds
61,Rochegda,RU,2021-11-01 03:30:36,62.8,43.25,38.35,98,100,4.12,overcast clouds
62,Arraial Do Cabo,BR,2021-11-01 03:28:43,-22.9661,-42.0278,69.69,95,100,22.66,overcast clouds
63,Sinnamary,GF,2021-11-01 03:30:36,5.3833,-52.95,78.58,84,79,7.27,broken clouds
64,Hermanus,ZA,2021-11-01 03:30:37,-34.4187,19.2345,62.8,77,100,13.22,overcast clouds
65,Leningradskiy,RU,2021-11-01 03:27:21,69.3833,178.4167,-1.44,87,99,12.48,overcast clouds
66,Norman Wells,CA,2021-11-01 03:30:37,65.282,-126.8329,14.04,85,40,2.3,scattered clouds
67,Namibe,AO,2021-11-01 03:30:37,-15.1961,12.1522,63.57,82,21,3.22,few clouds
68,Bethel,US,2021-11-01 03:30:38,41.3712,-73.414,56.35,84,20,1.99,few clouds
69,Sechura,PE,2021-11-01 03:30:38,-5.5569,-80.8222,66.38,72,39,10.49,scattered clouds
70,Saint Anthony,US,2021-11-01 03:30:36,45.0205,-93.218,39.06,68,1,1.01,clear sky
71,San Patricio,US,2021-11-01 03:30:38,28.017,-97.5169,75.81,62,0,7.83,clear sky
72,Sistranda,NO,2021-11-01 03:30:38,63.7256,8.834,48.9,67,100,34.74,overcast clouds
73,Beira,MZ,2021-11-01 03:30:39,-19.8436,34.8389,69.89,94,40,5.75,scattered clouds
74,Inongo,CD,2021-11-01 03:30:39,-1.95,18.2667,69.53,96,100,5.03,overcast clouds
75,Tabou,CI,2021-11-01 03:30:39,4.423,-7.3528,76.64,88,88,6.76,overcast clouds
76,Kangaatsiaq,GL,2021-11-01 03:30:40,68.3065,-53.4641,35.6,89,100,22.12,light rain
77,Mount Gambier,AU,2021-11-01 03:30:10,-37.8333,140.7667,69.71,35,3,6.91,clear sky
78,Serebryanyy Bor,RU,2021-11-01 03:30:40,56.8,124.8,24.82,79,97,6.93,overcast clouds
79,Evensk,RU,2021-11-01 03:30:40,61.95,159.2333,2.21,75,26,7.7,scattered clouds
80,Bengkulu,ID,2021-11-01 03:30:41,-3.8004,102.2655,83.61,70,98,6.24,overcast clouds
81,Moreira,PT,2021-11-01 03:30:41,41.056,-8.3894,56.82,97,100,4.38,overcast clouds
82,Sept-Iles,CA,2021-11-01 03:30:41,50.2001,-66.3821,49.05,97,90,11.99,mist
83,Hambantota,LK,2021-11-01 03:30:42,6.1241,81.1185,84.54,84,20,2.3,light rain
84,Provideniya,RU,2021-11-01 03:30:42,64.3833,-173.3,17.71,57,40,6.71,scattered clouds
85,Akyab,MM,2021-11-01 03:30:42,20.15,92.9,82.51,70,72,1.07,broken clouds
86,Batsfjord,NO,2021-11-01 03:30:42,70.6345,29.7185,29.75,89,85,10.02,overcast clouds
87,Upernavik,GL,2021-11-01 03:30:43,72.7868,-56.1549,27.28,95,100,7.0,light snow
88,Burnie,AU,2021-11-01 03:30:43,-41.0667,145.9167,63.91,57,63,14.65,broken clouds
89,Zhangjiakou,CN,2021-11-01 03:26:12,40.81,114.8794,44.76,44,0,2.35,clear sky
90,Havelock,US,2021-11-01 03:30:44,34.8791,-76.9013,62.55,90,31,7.25,scattered clouds
91,Dikson,RU,2021-11-01 03:28:59,73.5069,80.5464,5.65,93,94,10.6,overcast clouds
92,Mitu,CO,2021-11-01 03:31:44,1.1983,-70.1733,72.23,99,100,2.62,overcast clouds
93,Bredasdorp,ZA,2021-11-01 03:31:44,-34.5322,20.0403,62.28,77,100,6.91,overcast clouds
94,San Quintin,MX,2021-11-01 03:31:45,30.4833,-115.95,61.93,86,16,6.24,few clouds
95,Severo-Kurilsk,RU,2021-11-01 03:31:45,50.6789,156.125,36.63,55,72,24.32,light rain
96,Dongsheng,CN,2021-11-01 03:31:45,39.8161,109.9776,44.98,33,3,9.64,clear sky
97,Saint-Francois,FR,2021-11-01 03:31:45,46.4154,3.9054,52.48,92,90,5.75,overcast clouds
98,Ntungamo,UG,2021-11-01 03:31:46,-0.8833,29.65,63.9,93,100,2.77,overcast clouds
99,Jamestown,US,2021-11-01 03:31:28,42.097,-79.2353,51.12,97,90,7.0,overcast clouds
100,Huarmey,PE,2021-11-01 03:31:46,-10.0681,-78.1522,64.06,84,16,7.16,few clouds
101,Tarakan,ID,2021-11-01 03:31:47,3.3,117.6333,85.5,70,40,9.22,scattered clouds
102,Victoria,HK,2021-11-01 03:31:47,22.2855,114.1577,82.04,76,35,11.01,scattered clouds
103,Barrow,US,2021-11-01 03:31:47,71.2906,-156.7887,21.22,86,75,10.36,broken clouds
104,San Cristobal,VE,2021-11-01 03:31:48,7.7669,-72.225,64.58,97,98,0.81,light rain
105,Broken Hill,AU,2021-11-01 03:31:48,-31.95,141.4333,80.31,10,40,11.5,scattered clouds
106,Chardara,KZ,2021-11-01 03:31:48,41.2547,67.9692,48.96,43,2,6.24,clear sky
107,Atar,MR,2021-11-01 03:31:49,20.5169,-13.0499,78.28,20,1,6.33,clear sky
108,Buala,SB,2021-11-01 03:31:49,-8.145,159.5921,83.34,74,79,6.4,moderate rain
109,Faya,SA,2021-11-01 03:31:49,18.3851,42.4509,51.91,50,7,6.87,clear sky
110,Ramnagar,IN,2021-11-01 03:31:49,29.4,79.1167,71.47,61,0,2.73,clear sky
111,Yar-Sale,RU,2021-11-01 03:31:50,66.8333,70.8333,9.23,96,100,2.19,light snow
112,Quelimane,MZ,2021-11-01 03:31:50,-17.8786,36.8883,76.95,94,75,3.44,broken clouds
113,Awbari,LY,2021-11-01 03:31:50,26.5921,12.7805,64.65,32,0,2.62,clear sky
114,Cidreira,BR,2021-11-01 03:31:51,-30.1811,-50.2056,67.46,89,7,19.77,clear sky
115,Coxim,BR,2021-11-01 03:31:51,-18.5067,-54.76,75.74,83,1,3.36,clear sky
116,Saint-Raymond,CA,2021-11-01 03:30:01,45.467,-73.6095,53.1,84,75,4.61,broken clouds
117,Rawson,AR,2021-11-01 03:30:52,-43.3002,-65.1023,47.89,76,59,15.17,broken clouds
118,Matara,LK,2021-11-01 03:31:51,5.9485,80.5353,81.73,80,100,10.29,heavy intensity rain
119,Jardim,BR,2021-11-01 03:31:52,-21.4803,-56.1381,72.46,79,6,7.11,clear sky
120,Portland,US,2021-11-01 03:31:29,45.5234,-122.6762,54.41,46,1,1.01,clear sky
121,Baran,IN,2021-11-01 03:31:52,25.1,76.5167,75.11,40,0,6.44,clear sky
