City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Guarapari,BR,2021-10-31 23:45:13,-20.6667,-40.4975,71.49,96,100,14.27
68,Thompson,CA,2021-10-31 23:45:32,55.7435,-97.8558,30.36,86,90,10.36
69,Bubaque,GW,2021-10-31 23:45:33,11.2833,-15.8333,82.8,76,26,11.61
70,Lavrentiya,RU,2021-10-31 23:45:33,65.5833,-171.0,13.51,79,10,10.42
71,Avarua,CK,2021-10-31 23:41:46,-21.2078,-159.775,78.85,69,20,14.97
72,Nago,JP,2021-10-31 23:45:33,26.5881,127.9761,77.16,68,39,11.48
73,Saint George,US,2021-10-31 23:44:27,37.1041,-113.5841,77.95,28,1,4.0
74,Carnarvon,AU,2021-10-31 23:41:13,-24.8667,113.6333,68.07,64,75,20.71
75,Dikson,RU,2021-10-31 23:41:42,73.5069,80.5464,5.92,93,100,11.5
76,Troy,US,2021-10-31 23:41:49,42.6056,-83.1499,53.55,82,90,10.0
77,Cape Town,ZA,2021-10-31 23:45:34,-33.9258,18.4232,65.08,71,20,3.0
78,Port Alfred,ZA,2021-10-31 23:45:34,-33.5906,26.891,66.22,82,85,15.5
79,Camana,PE,2021-10-31 23:45:35,-16.6228,-72.7111,67.5,75,32,4.9
80,Port Shepstone,ZA,2021-10-31 23:45:35,-30.7414,30.455,65.7,88,34,8.75
81,Colac,AU,2021-10-31 23:45:36,-38.3333,143.5833,63.01,57,8,3.44
82,Novikovo,RU,2021-10-31 23:45:36,51.1537,37.8879,40.23,62,0,3.8
83,Bluff,NZ,2021-10-31 23:45:36,-46.6,168.3333,55.53,73,96,28.54
84,Katsuura,JP,2021-10-31 23:45:37,35.1333,140.3,65.1,84,93,7.09
85,Beloha,MG,2021-10-31 23:45:37,-25.1667,45.05,71.35,78,87,3.31
86,Khatanga,RU,2021-10-31 23:41:18,71.9667,102.5,5.63,96,100,11.65
87,Iqaluit,CA,2021-10-31 23:45:37,63.7506,-68.5145,31.73,80,90,8.99
88,Puerto Ayora,EC,2021-10-31 23:45:38,-0.7393,-90.3518,69.96,87,35,8.43
89,Sale,MA,2021-10-31 23:46:38,34.0389,-6.8166,65.75,100,75,0.0
90,Qaanaaq,GL,2021-10-31 23:46:38,77.484,-69.3632,14.25,67,100,8.57
91,Westport,US,2021-10-31 23:45:35,41.1415,-73.3579,60.94,88,90,1.01
92,Sheregesh,RU,2021-10-31 23:46:39,52.9209,87.9869,26.02,93,100,14.47
93,Grande Prairie,CA,2021-10-31 23:45:35,55.1667,-118.8027,35.78,41,20,3.44
94,Balikpapan,ID,2021-10-31 23:46:39,-1.2675,116.8289,79.79,94,20,4.61
95,Victoria,HK,2021-10-31 23:44:00,22.2855,114.1577,77.38,82,84,7.0
96,Mar Del Plata,AR,2021-10-31 23:46:40,-38.0023,-57.5575,55.99,88,90,1.99
97,Sungaipenuh,ID,2021-10-31 23:46:40,-2.0833,101.3833,67.32,94,100,1.81
98,Sarakhs,IR,2021-10-31 23:46:40,36.5449,61.1577,46.89,67,18,3.65
99,Kaitangata,NZ,2021-10-31 23:46:41,-46.2817,169.8464,62.87,42,64,10.42
100,Cap-Aux-Meules,CA,2021-10-31 23:44:02,47.3821,-61.8597,53.65,87,90,18.41
101,Kapaa,US,2021-10-31 23:46:41,22.0752,-159.319,82.38,77,20,1.99
102,Hojslev,DK,2021-10-31 23:46:41,56.5857,9.1364,55.04,93,100,7.0
103,Yerofey Pavlovich,RU,2021-10-31 23:46:42,53.9667,121.9667,24.66,55,99,0.96
104,Orcopampa,PE,2021-10-31 23:46:42,-15.2661,-72.3417,49.35,40,95,7.9
105,Zimovniki,RU,2021-10-31 23:46:42,47.1483,42.4633,46.38,85,25,10.07
